"Pigment","Full_name"
"p1","Chlorophyll c3"
"p2","Chlorophyllide a"
"p3","Chlorophyll c1+c2"
"p4","Peridinin"
"p5","19-Butanoyloxyfucoxanthin"
"p6","Fucoxanthin"
"p7","19-Hexanoyloxyfucoxanthin"
"p8","Prasinoxanthin"
"p9","Diadinoxanthin"
"p10","Alloxanthin"
"p11","Diatoxanthin"
"p12","Zeaxanthin+lutein"
"p13","Chlorophyll b"
"p14","Chlorophyll a"
"p15","a+b Carotene"
"Chl","Turner Chlorophyll a"
"Phae","Turner Phaeopigments"
"p18","Lutein"
"p19","Zeaxanthin"
"p20","a-Carotene"
"p21","b-Carotene"
